scenario_id,variant,available,status,error,final_status,verification_passed,first_attempt_success,recovery_attempts,recovered,tests_run,tests_passed,tests_failed,model_calls,tool_calls,input_tokens,output_tokens,estimated_cost_usd,verification_runs,review_approved,review_rejections,risk_level,risk_score,security_gate_triggered,security_findings,wall_time_seconds,node_count,scripted_model_calls
billing_validation_first_try,A_baseline,True,completed,,completed,True,True,0,False,2,2,0,3,2,719,279,0.017214,1,,0,,,False,0,0.7658,9,3
inventory_boundary_recovery,A_baseline,True,failed,,failed,False,False,0,False,2,1,1,3,2,710,233,0.016629,1,,0,,,False,0,0.7863,9,3
textutil_syntax_recovery,A_baseline,True,failed,,failed,False,False,0,False,1,0,1,3,2,692,218,0.016122,1,,0,,,False,0,0.8767,9,3
inventory_recovery_exhausted,A_baseline,True,failed,,failed,False,False,0,False,2,1,1,3,2,709,233,0.016614,1,,0,,,False,0,0.7773,9,3
billing_review_rejection,A_baseline,True,completed,,completed,True,True,0,False,2,2,0,3,2,719,278,0.017259,1,,0,,,False,0,0.749,9,3
pipeline_secret_risk_gate,A_baseline,True,completed,,completed,True,True,0,False,1,1,0,3,2,710,291,0.018219,1,,0,,,False,0,0.751,9,3
billing_validation_first_try,B_repo_intel,True,completed,,completed,True,True,0,False,2,2,0,3,18,793,279,0.018324,1,,0,,,False,0,0.7669,9,3
inventory_boundary_recovery,B_repo_intel,True,failed,,failed,False,False,0,False,2,1,1,3,18,787,233,0.017784,1,,0,,,False,0,0.787,9,3
textutil_syntax_recovery,B_repo_intel,True,failed,,failed,False,False,0,False,1,0,1,3,18,759,218,0.017127,1,,0,,,False,0,0.9263,9,3
inventory_recovery_exhausted,B_repo_intel,True,failed,,failed,False,False,0,False,2,1,1,3,18,786,233,0.017769,1,,0,,,False,0,0.7854,9,3
billing_review_rejection,B_repo_intel,True,completed,,completed,True,True,0,False,2,2,0,3,18,804,278,0.018534,1,,0,,,False,0,0.7724,9,3
pipeline_secret_risk_gate,B_repo_intel,True,completed,,completed,True,True,0,False,1,1,0,3,18,779,291,0.019254,1,,0,,,False,0,0.7631,9,3
billing_validation_first_try,C_recovery,True,completed,,completed,True,True,0,False,2,2,0,3,18,793,279,0.018324,1,,0,,,False,0,0.7543,9,3
inventory_boundary_recovery,C_recovery,True,completed,,completed,True,False,1,True,2,2,0,4,22,1542,449,0.023289,2,,0,,,False,0,1.5282,12,4
textutil_syntax_recovery,C_recovery,True,completed,,completed,True,False,1,True,2,2,0,4,22,1582,400,0.022326,2,,0,,,False,0,1.6378,12,4
inventory_recovery_exhausted,C_recovery,True,escalated_recovery_exhausted,,escalated_recovery_exhausted,False,False,3,False,2,1,1,6,32,3092,767,0.032697,4,,0,,,False,0,3.093,19,6
billing_review_rejection,C_recovery,True,completed,,completed,True,True,0,False,2,2,0,3,18,804,278,0.018534,1,,0,,,False,0,0.7509,9,3
pipeline_secret_risk_gate,C_recovery,True,completed,,completed,True,True,0,False,1,1,0,3,18,779,291,0.019254,1,,0,,,False,0,0.7474,9,3
billing_validation_first_try,D_reviewer,True,completed,,completed,True,True,0,False,2,2,0,4,19,1248,309,0.027399,1,True,0,,,False,0,0.7669,10,4
inventory_boundary_recovery,D_reviewer,True,completed,,completed,True,False,1,True,2,2,0,5,23,1980,475,0.031809,2,True,0,,,False,0,1.6056,13,5
textutil_syntax_recovery,D_reviewer,True,completed,,completed,True,False,1,True,2,2,0,5,23,1982,427,0.030351,2,True,0,,,False,0,1.6796,13,5
inventory_recovery_exhausted,D_reviewer,True,escalated_recovery_exhausted,,escalated_recovery_exhausted,False,False,3,False,2,1,1,6,32,3092,767,0.032697,4,,0,,,False,0,3.1951,19,6
billing_review_rejection,D_reviewer,True,completed,,completed,True,False,1,True,2,2,0,6,22,2217,695,0.048132,2,True,1,,,False,0,1.5506,13,6
pipeline_secret_risk_gate,D_reviewer,True,completed,,completed,True,True,0,False,1,1,0,4,19,1216,320,0.027984,1,True,0,,,False,0,0.8064,10,4
billing_validation_first_try,E_full,True,completed,,completed,True,True,0,False,2,2,0,4,25,1248,309,0.027399,1,True,0,LOW,0,False,0,0.8448,12,4
inventory_boundary_recovery,E_full,True,completed,,completed,True,False,1,True,2,2,0,5,29,1980,475,0.031809,2,True,0,LOW,0,False,0,1.5804,15,5
textutil_syntax_recovery,E_full,True,completed,,completed,True,False,1,True,2,2,0,5,29,1982,427,0.030351,2,True,0,LOW,0,False,0,1.6522,15,5
inventory_recovery_exhausted,E_full,True,escalated_recovery_exhausted,,escalated_recovery_exhausted,False,False,3,False,2,1,1,6,34,3092,767,0.032697,4,,0,,,False,0,3.1376,19,6
billing_review_rejection,E_full,True,completed,,completed,True,False,1,True,2,2,0,6,28,2217,695,0.048132,2,True,1,LOW,0,False,0,1.531,15,6
pipeline_secret_risk_gate,E_full,True,awaiting_human_approval,,awaiting_human_approval,True,True,0,False,1,1,0,4,25,1216,320,0.027984,1,True,0,HIGH,90,True,1,0.7697,12,4
